0_Geographic entity;1_Area (km 2 );2_Notes
[Earth|Earth];510,065,284;Total surface area (70.8% water coverage and 29.2% land coverage).
[Ocean|Ocean];361,126,221;Total water coverage (70.8% of Earth's surface).
[Pacific_Ocean|Pacific Ocean];179,700,000;[Celebes_Sea|Celebes Sea]
[Pacific_Ocean|Pacific Ocean];155,557,000;Largest ocean.
[Ecoregion|Land];148,939,063;Total land coverage (29.2% of Earth's surface).
[Atlantic_Ocean|Atlantic Ocean];106,400,000;[Denmark_Strait|Denmark Strait]
[Afro-Eurasia|Afro-Eurasia];84,211,532;Largest contiguous landmass.
[Atlantic_Ocean|Atlantic Ocean];76,762,000;Second largest ocean.
[Indian_Ocean|Indian Ocean];73,556,000;[Andaman_Sea|Andaman Sea]
[Indian_Ocean|Indian Ocean];68,556,000;Third largest ocean.
[Eurasia|Eurasia];53,990,000;"Largest broadly connected contiguous landmass, comprising the traditional continents of Europe and Asia; sometimes considered a single continent, it covers 10.6% of the Earth's surface (36.2% of the land area)."
[Asia|Asia];44,579,000;Largest continent.
[Americas|Americas];42,549,000;Large contiguous landmass viewed in some parts of the world as single continent. This view is held in Latin America, Greece, Italy and Spain.
[Moon|Moon];37,930,000;Satellite in orbit around the Earth, excluded by treaty from national claims of ownership.
[British_Empire|British Empire];34,000,000;[George_V|George V]
[Mongol_Empire|Mongol Empire];33,200,000;Multi-country empire, under Kublai Khan in 1268.
[Commonwealth_of_Nations|Commonwealth of Nations];31,462,574;Supranational political entity.
[Africa|Africa];30,221,532;Second largest continent.
[African_Union|African Union];29,797,500;Supranational political entity.
[North_America|North America];24,490,000;Continent.
[Russian_Empire|Russian Empire];22,800,000;[Nicholas_II_of_Russia|Nicholas II]
[Soviet_Union|Soviet Union];22,402,200;Largest country in the world from 1922 until its dissolution in 1991.
[Southern_Ocean|Southern Ocean];20,327,000;Ocean.
[South_America|South America];17,840,000;Continent.
[Union_of_South_American_Nations|UNASUR];17,715,335;Supranational political entity including most nations of South America.
[Russia|Russia];17,098,242;"Largest country in the world; crosses Europe and Asia."
[Spanish_Empire|Spanish Empire];15,850,000;[Charles_III_of_Spain|Charles III]
[Qing_dynasty|Qing Empire, China];14,700,000;[Yongzheng_Emperor|Yongzheng Emperor]
[Arctic_Ocean|Arctic Ocean];14,056,000;Ocean.
[Antarctica|Antarctica];14,000,000;Continent.
[Yuan_dynasty|Yuan Khanate China];14,000,000;Multi-country empire in Asia under the Yuan Khanate 1279-1368. Measured at its maximum extant in 1310.
[Arab_League|Arab League];13,953,041;Supranational political entity.
[Umayyad_Caliphate|Umayyad_Caliphate];13,200,000;[Hisham_ibn_Abd_al-Malik|Hisham ibn Abd al-Malik]
[Siberia|Siberia];13,138,242;Traditional historic and geographic region of Russia.
[French_colonial_empire|French colonial empire];12,898,000;[Albert_François_Lebrun|Albert Lebrun]
[Mercosur|Mercosur];12,781,179;Supranational political entity consisting of 4 South American countries
[Portuguese_Empire|Portuguese Empire];10,400,000;The Portuguese overseas empire at its greatest extent in 1815. Including but not limited to Brazil, Angola and Mozambique.
[Europe|Europe];10,180,000;Continent.
[Abbasid_Caliphate|Abbasid_Caliphate];10,000,000;Estimate at its apex in 850. Lasting from 750-1258.
[Canada|Canada];9,970,610;"Second largest country in the world; largest country in North America, and in the Western Hemisphere."
[United_States_territorial_acquisitions|overseas expansion of the United States];9,948,908;[United_States|United States]
[China|People's Republic of China];9,742,010;[Aksai_Chin|Aksai Chin]
[China|People's Republic of China];9,706,961;[South_Tibet|South Tibet]
[United_States|United States of America];9,522,055;[Washington,_D.C.|District of Columbia]
[Oceania|Oceania];9,008,458;[Australia|Australia]
[Brazil|Brazil];8,514,877;[Fernando_de_Noronha|Arquipélago de Fernando de Noronha]
[French_colonial_empire|French colonial empire];8,232,162;[Louis_XV_of_France|Louis XV]
[Indies|Indies];8,063,879;A European Colonial term for South and South East Asia, sometimes also known as the Indosphere.
[Australasia|Australasia];7,955,717;[Oceania|Oceania]
[Contiguous_United_States|Contiguous United States];7,902,634;[Washington,_D.C.|District of Columbia]
[Australia|Australia];7,686,848;[Oceania|Oceania]
[Sasanian_Empire|Sassanid Empire];7,400,000;Successor state to the Parthian Empire in the middle east and Iran, lasting from 224-651, size estimated at its apex in 550.
[Empire_of_Japan|Empire of Japan];7,400,000;[Hideki_Tojo|Hideki Tojo]
[New_France|New France];7,191,613;[France|France]
[Ming_dynasty|Ming China];6,500,000;Chinese Empire after the overthrow of the Yuan Mongol dynasty 1368-1644. Measured at its maximum extent in 1450.
[Achaemenid_Empire|Achaemenid Empire];6,240,000;[Iran|Iran]
[Europe|Europe];6,220,000;Traditional region.
[Far_Eastern_Federal_District|Far Eastern Federal District];6,215,900;Federal district of Russia created May 2000.
[Golden_Horde|Golden Horde];6,000,000;Multi-country empire in Europe and Asia a Khanate remnant of the Mongol Empire, lasting from 1240-1502. Size is approximate at its apex in 1310.
[Australian_Antarctic_Territory|Australian Antarctic Territory];5,896,500;Australian claim to Antarctica.
[Ottoman_Empire|Ottoman Empire];5,500,000;[Suleiman_II|Suleiman II]
[Macedonia_(ancient_kingdom)|Macedonia (ancient kingdom)];5,200,000;[Alexander_the_Great|Alexander the Great]
[South_Asian_Association_for_Regional_Cooperation|South_Asian_Association_for_Regional_Cooperation];5,130,746;Supranational political entity.
